Data;Fechamento;Volume
17-fev-17;2.75;220.100
20-fev-17;2.74;377.800
21-fev-17;2.76;255.500
22-fev-17;2.74;175.400
23-fev-17;2.71;345.000
24-fev-17;2.76;181.800
1-mar-17;2.73;162.400
2-mar-17;2.69;450.900
3-mar-17;2.67;302.400
6-mar-17;2.65;474.300
7-mar-17;2.62;300.400
8-mar-17;2.61;210.600
9-mar-17;2.61;202.200
10-mar-17;2.62;200.100
13-mar-17;2.67;233.100
14-mar-17;2.63;104.300
15-mar-17;2.64;217.800
16-mar-17;2.64;109.300
17-mar-17;2.63;168.400
20-mar-17;2.63;91.300
21-mar-17;2.57;215.900
22-mar-17;2.53;368.700
23-mar-17;2.5;492.500
24-mar-17;2.49;371.900
27-mar-17;2.47;621.800
28-mar-17;2.54;163.800
29-mar-17;2.58;92.700
30-mar-17;2.62;149.100
31-mar-17;2.68;131.400
3-abr-17;2.66;101.700
4-abr-17;2.76;281.800
5-abr-17;2.71;470.700
6-abr-17;2.67;259.500
7-abr-17;2.69;112.700
10-abr-17;2.7;128.900
11-abr-17;2.67;589.500
12-abr-17;2.72;246.400
13-abr-17;2.65;240.800
17-abr-17;2.68;164.600
18-abr-17;2.65;194.800
19-abr-17;2.65;239.800
20-abr-17;2.67;235.100
24-abr-17;2.89;466.400
25-abr-17;2.81;282.100
26-abr-17;2.83;367.200
27-abr-17;2.85;163.900
28-abr-17;2.83;166.800
2-mai-17;2.87;202.500
3-mai-17;2.86;144.100
4-mai-17;2.86;127.900
5-mai-17;2.88;96.100
8-mai-17;2.87;166.500
9-mai-17;2.9;123.300
10-mai-17;2.85;218.900
11-mai-17;2.83;168.800
12-mai-17;2.82;79.100
15-mai-17;2.86;146.900
16-mai-17;2.86;81.100
17-mai-17;2.77;202.200
18-mai-17;2.78;1.038.200
19-mai-17;2.8;260.000
22-mai-17;2.88;467.200
23-mai-17;3,00;417.100
24-mai-17;2.93;258.300
25-mai-17;3.03;327.400
26-mai-17;3.02;601.700
29-mai-17;3.06;107.600
30-mai-17;2.93;1.608.700
31-mai-17;2.86;113.000
1-jun-17;2.87;87.900
2-jun-17;2.84;90.200
5-jun-17;2.93;159.900
6-jun-17;2.93;91.200
7-jun-17;2.92;107.200
8-jun-17;2.9;99.900
9-jun-17;2.83;178.000
12-jun-17;2.89;136.300
13-jun-17;2.94;260.100
14-jun-17;2.95;136.000
16-jun-17;2.93;151.300
19-jun-17;2.94;109.400
20-jun-17;2.92;67.500
21-jun-17;2.89;62.400
22-jun-17;2.88;50.900
23-jun-17;2.84;111.400
26-jun-17;2.9;115.900
27-jun-17;2.89;69.200
28-jun-17;2.86;51.100
29-jun-17;2.83;107.000
30-jun-17;2.82;235.200
3-jul-17;2.84;52.400
4-jul-17;2.88;103.600
5-jul-17;2.88;75.400
6-jul-17;2.83;144.200
7-jul-17;2.79;217.700
10-jul-17;2.8;188.700
11-jul-17;2.86;78.200
12-jul-17;2.88;116.500
13-jul-17;2.84;79.800
14-jul-17;2.88;98.000
17-jul-17;2.9;119.800
18-jul-17;2.88;64.200
19-jul-17;2.89;114.600
20-jul-17;2.9;98.700
21-jul-17;2.94;92.800
24-jul-17;2.92;110.800
25-jul-17;2.91;98.300
26-jul-17;2.85;130.600
27-jul-17;2.88;21.800
28-jul-17;2.85;83.500
31-jul-17;2.82;169.900
1-ago-17;2.82;161.200
2-ago-17;2.87;152.500
3-ago-17;2.84;168.100
4-ago-17;2.87;139.700
7-ago-17;2.84;140.400
8-ago-17;2.82;345.200
9-ago-17;2.81;215.700
10-ago-17;2.82;108.800
11-ago-17;2.86;254.500
14-ago-17;2.85;82.700
15-ago-17;2.93;352.300
16-ago-17;3.04;347.200
17-ago-17;2.99;130.100
18-ago-17;2.97;66.800
21-ago-17;3.04;128.900
22-ago-17;3.13;165.700
23-ago-17;3.13;109.800
24-ago-17;3.1;996.091
25-ago-17;3.15;169.300
28-ago-17;3.16;87.800
29-ago-17;3.15;100.200
30-ago-17;3.1;50.400
31-ago-17;3.08;114.700
1-set-17;3.06;169.700
4-set-17;3.16;242.500
5-set-17;3.14;156.500
6-set-17;3.15;161.000
8-set-17;3.16;54.600
11-set-17;3.26;271.700
12-set-17;3.39;781.200
13-set-17;3.4;172.800
14-set-17;3.38;94.200
15-set-17;3.38;544.900
18-set-17;3.47;426.900
19-set-17;3.49;350.100
20-set-17;3.47;196.000
21-set-17;3.41;163.500
22-set-17;3.46;95.500
25-set-17;3.42;84.400
26-set-17;3.4;152.800
27-set-17;3.4;89.800
28-set-17;3.36;145.000
29-set-17;3.34;159.000
2-out-17;3.3;99.500
3-out-17;3.38;137.200
4-out-17;3.38;62.900
5-out-17;3.41;142.500
6-out-17;3.5;125.000
9-out-17;3.39;48.500
10-out-17;3.42;46.800
11-out-17;3.5;110.600
13-out-17;3.46;58.800
16-out-17;3.51;129.500
17-out-17;3.47;59.300
18-out-17;3.5;82.400
19-out-17;3.43;56.600
20-out-17;3.65;218.900
23-out-17;3.52;559.300
24-out-17;3.54;113.100
25-out-17;3.49;174.900
26-out-17;3.45;184.400
27-out-17;3.5;148.500
30-out-17;3.41;362.600
31-out-17;3.42;97.300
1-nov-17;3.48;115.000
3-nov-17;3.46;151.300
6-nov-17;3.4;133.700
7-nov-17;3.32;121.100
8-nov-17;3.32;106.200
9-nov-17;3.43;144.000
10-nov-17;3.3;116.500
13-nov-17;3.37;96.700
14-nov-17;3.27;109.700
16-nov-17;3.39;75.000
17-nov-17;3.35;70.900
21-nov-17;3.38;79.700
22-nov-17;3.3;99.500
23-nov-17;3.31;54.000
24-nov-17;3.26;175.900
27-nov-17;3.31;112.100
28-nov-17;3.38;129.300
29-nov-17;3.32;116.000
30-nov-17;3.26;166.800
1-dez-17;3.25;146.100
4-dez-17;3.25;186.100
5-dez-17;3.18;180.600
6-dez-17;3.25;92.400
7-dez-17;3.18;90.900
8-dez-17;3.13;89.100
11-dez-17;3.1;92.900
12-dez-17;3.1;67.300
13-dez-17;3.1;104.300
14-dez-17;3.07;62.600
15-dez-17;3.04;150.400
18-dez-17;3.09;124.500
19-dez-17;3.06;115.500
